Date,Open,High,Low,Close,Adj Close,Volume
14-06-2017,151.550003,155.449997,148.649994,154.649994,154.649994,5357619
15-06-2017,153.050003,155.399994,152.25,153.100006,153.100006,2807283
16-06-2017,153.300003,154.100006,150.899994,151.600006,151.600006,2001886
19-06-2017,152.800003,153.25,151.25,151.800003,151.800003,1865804
20-06-2017,151.25,153.5,150.550003,151.550003,151.550003,1822486
21-06-2017,151,154.25,150.800003,151.350006,151.350006,2480509
22-06-2017,152.100006,153.800003,149.850006,150.649994,150.649994,2047007
23-06-2017,151,151.800003,145.100006,146.449997,146.449997,3253307
27-06-2017,145,145.199997,140.199997,142.5,142.5,4354484
28-06-2017,141,146.899994,140.5,145.949997,145.949997,3596801
29-06-2017,147.399994,148.5,144.399994,145.300003,145.300003,4298838
30-06-2017,144.100006,147.949997,144.100006,147.399994,147.399994,2159351
03-07-2017,147.5,150.949997,146.600006,150.350006,150.350006,2095932
04-07-2017,150,151.699997,146,146.399994,146.399994,2462814
05-07-2017,146.600006,149.800003,146.550003,149.350006,149.350006,1838059
06-07-2017,149.600006,155,149.399994,152.850006,152.850006,3357890
07-07-2017,152.5,154.5,150.600006,151,151,1863447
10-07-2017,155.800003,157.5,155.350006,156.850006,156.850006,752420
11-07-2017,157.699997,159.5,151.75,152.399994,152.399994,2811203
12-07-2017,152.399994,154.899994,150.350006,154.25,154.25,2435109
13-07-2017,155.800003,156.800003,152.850006,154.850006,154.850006,2060709
14-07-2017,155.350006,156.100006,150.399994,155.100006,155.100006,4613690
17-07-2017,155.100006,157.199997,153.550003,155.550003,155.550003,3236234
18-07-2017,155,159,154.199997,155.649994,155.649994,5140840
19-07-2017,156.5,157.399994,154.850006,156.199997,156.199997,2832316
20-07-2017,155.699997,156.350006,153.100006,153.649994,153.649994,2154357
21-07-2017,154.100006,156.399994,152.350006,154.800003,154.800003,2667146
24-07-2017,154.75,158.649994,154.699997,157.300003,157.300003,4148506
25-07-2017,158.5,162,158.100006,161.25,161.25,3920362
26-07-2017,162.350006,162.699997,158.199997,159.550003,159.550003,4928905
27-07-2017,159.949997,161.5,154.300003,154.899994,154.899994,4248777
28-07-2017,154.399994,158.600006,153.399994,157,157,3281664
31-07-2017,157,160.199997,154.149994,158.050003,158.050003,4245041
01-08-2017,158.300003,159.199997,153.350006,154.199997,154.199997,3829223
02-08-2017,155.149994,155.949997,149.199997,150.050003,150.050003,6284203
03-08-2017,148.050003,148.5,141.949997,143.600006,143.600006,7698675
04-08-2017,143.899994,146.649994,142.350006,145.100006,145.100006,3614231
07-08-2017,146.25,147.649994,144.800003,146.350006,146.350006,2344223
08-08-2017,147.350006,147.699997,142.050003,142.399994,142.399994,3324166
09-08-2017,142,144,140.25,141.600006,141.600006,3732422
10-08-2017,141,142.800003,131.399994,134.449997,134.449997,4981645
11-08-2017,127.5,129.649994,124,127.300003,127.300003,11096223
14-08-2017,128.699997,129.899994,127.349998,128.25,128.25,2602207
16-08-2017,129,134.350006,126.050003,133.25,133.25,5140083
17-08-2017,133.899994,136,132.399994,133.399994,133.399994,2867662
18-08-2017,131.899994,133,130.100006,132.050003,132.050003,2677422
21-08-2017,132.800003,135.149994,130,131,131,3517270
22-08-2017,131.100006,132.199997,127.300003,128.949997,128.949997,4455494
23-08-2017,129.949997,135.300003,129.699997,134.199997,134.199997,3664065
24-08-2017,134.050003,137.600006,132.199997,136.050003,136.050003,4079241
28-08-2017,137,138.199997,135.649994,136.649994,136.649994,1868001
29-08-2017,135.199997,138.449997,134.25,134.75,134.75,3037504
30-08-2017,136.149994,137.300003,135.75,136.550003,136.550003,2149784
31-08-2017,136.5,137.25,134.300003,136.300003,136.300003,2714923
01-09-2017,136.649994,139.699997,136,138.800003,138.800003,3259203
04-09-2017,136.100006,139.300003,135,135.899994,135.899994,2705717
05-09-2017,136.699997,138.100006,136.199997,137.699997,137.699997,1895102
06-09-2017,136.449997,137.899994,133.350006,133.949997,133.949997,3971541
07-09-2017,134.699997,135.850006,133.149994,133.649994,133.649994,2554628
08-09-2017,134.949997,134.949997,130.149994,131.25,131.25,2630786
11-09-2017,132.5,133.949997,132.050003,133.100006,133.100006,2085086
12-09-2017,133.699997,135.949997,133.199997,134.5,134.5,2478794
13-09-2017,134.300003,138.949997,134.300003,136.25,136.25,3607657
14-09-2017,136.5,139.300003,135.25,137.600006,137.600006,3533287
15-09-2017,136.449997,138.850006,136.100006,137.350006,137.350006,3016999
18-09-2017,138.5,139.850006,137.050003,137.350006,137.350006,1838750
19-09-2017,137.5,138.550003,135.350006,136.949997,136.949997,2123143
20-09-2017,136.899994,139.649994,135.800003,138.899994,138.899994,3084823
21-09-2017,140,140,135.5,135.850006,135.850006,3127070
22-09-2017,135,135.050003,129.5,129.899994,129.899994,3761505
