Date,Open,High,Low,Close,Adj Close,Volume
24-04-2017,102.800003,103.349998,101.25,102.150002,102.150002,212720
25-04-2017,102,103.5,101.900002,102.150002,102.150002,160108
26-04-2017,102.900002,104.699997,101.75,102.449997,102.449997,416135
27-04-2017,102.550003,103.25,102.25,102.550003,102.550003,102139
28-04-2017,103.199997,107.900002,102.5,105.949997,105.949997,1132635
02-05-2017,106.599998,109.199997,103.5,104.75,104.75,891110
03-05-2017,105.5,107,104.25,104.75,104.75,983696
04-05-2017,105.25,112.300003,105.25,110.449997,110.449997,3518661
05-05-2017,111.349998,116.900002,108.199997,111,111,2856105
08-05-2017,111.550003,119.400002,109.599998,116.800003,116.800003,2455649
09-05-2017,117.400002,122.400002,113.150002,119.75,119.75,3525097
10-05-2017,122.300003,123.25,116.599998,117.449997,117.449997,2351067
11-05-2017,118.599998,118.599998,114,114.5,114.5,847576
12-05-2017,114.800003,116.5,113.5,114.599998,114.599998,687052
15-05-2017,110,115.5,107.099998,114.199997,114.199997,1573381
16-05-2017,114.199997,119.400002,112.400002,118.900002,118.900002,2829431
17-05-2017,119,122.099998,117.300003,120.900002,120.900002,1598762
18-05-2017,118,122,115.5,116.75,116.75,899071
19-05-2017,117.5,119.25,111.900002,115.949997,115.949997,879395
22-05-2017,119.550003,119.550003,113,113.699997,113.699997,612863
23-05-2017,110,113,106.599998,109.550003,109.550003,898463
24-05-2017,109.900002,111,103.300003,104.900002,104.900002,692087
25-05-2017,105,106.300003,103.150002,104.5,104.5,724812
26-05-2017,104.849998,106.300003,103.400002,104.300003,104.300003,349618
29-05-2017,105,105.599998,101.599998,102.699997,102.699997,1026158
30-05-2017,102,105.900002,101,102.599998,102.599998,399096
31-05-2017,103.699997,105.800003,102.349998,102.949997,102.949997,613296
01-06-2017,103.25,103.900002,102.300003,103.050003,103.050003,833781
02-06-2017,103.099998,104.900002,102.099998,102.849998,102.849998,185572
05-06-2017,103,103.449997,102,102.25,102.25,225853
06-06-2017,102.25,103.150002,99.650002,100.349998,100.349998,1802888
07-06-2017,100.599998,101.650002,99.800003,100.75,100.75,152739
08-06-2017,101.050003,101.449997,98.800003,100.5,100.5,373805
09-06-2017,100.25,100.900002,99.349998,100.400002,100.400002,628224
12-06-2017,100.400002,101.449997,99,101.050003,101.050003,424923
13-06-2017,100.349998,101.800003,98.400002,99.599998,99.599998,235398
14-06-2017,99.800003,102.550003,99.800003,102.099998,102.099998,425917
15-06-2017,101.050003,101.349998,99,99.75,99.75,681349
16-06-2017,99.699997,100.949997,99.300003,99.849998,99.849998,414617
19-06-2017,100.25,100.5,97.5,97.949997,97.949997,664367
20-06-2017,97.849998,98.150002,95.099998,95.699997,95.699997,218576
21-06-2017,94.550003,95.900002,94.199997,94.849998,94.849998,481261
22-06-2017,95,95,91.75,92.349998,92.349998,287842
23-06-2017,92.5,92.900002,86.5,87.949997,87.949997,472667
27-06-2017,87,89.900002,85,88.849998,88.849998,4273288
28-06-2017,88.5,88.900002,87,87.400002,87.400002,754141
29-06-2017,87.5,89.949997,87,89.050003,89.050003,871871
30-06-2017,88.349998,89.349998,87,87.199997,87.199997,4207737
03-07-2017,88.400002,88.949997,86.849998,87.650002,87.650002,268164
04-07-2017,87.75,87.949997,86.550003,87.25,87.25,81530
05-07-2017,87.099998,88.5,87,87.699997,87.699997,358361
06-07-2017,87.949997,91.900002,87.650002,91.199997,91.199997,657401
07-07-2017,92.699997,96,91.599998,92.699997,92.699997,875512
10-07-2017,93.900002,93.900002,92,93.400002,93.400002,50533
11-07-2017,93.5,94.199997,90.599998,91.900002,91.900002,866667
